source,experiment,run_id,notes,moe_runner_backend,attention_backend,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,cuda_graph_on,speedup_R_conc,speedup_geomean_all_regimes,n_regimes_measured,R_short_decode__speedup,R_short_decode__req_per_s,R_short_decode__tokens_per_s,R_short_decode__MFU_simple_pct,R_short_decode__MFU_amortized_pct,R_short_decode__MBU_pct,R_medium_balanced__speedup,R_medium_balanced__req_per_s,R_medium_balanced__tokens_per_s,R_medium_balanced__MFU_simple_pct,R_medium_balanced__MFU_amortized_pct,R_medium_balanced__MBU_pct,R_concurrent_decode__speedup,R_concurrent_decode__req_per_s,R_concurrent_decode__tokens_per_s,R_concurrent_decode__MFU_simple_pct,R_concurrent_decode__MFU_amortized_pct,R_concurrent_decode__MBU_pct,R_long_prefill__speedup,R_long_prefill__req_per_s,R_long_prefill__tokens_per_s,R_long_prefill__MFU_simple_pct,R_long_prefill__MFU_amortized_pct,R_long_prefill__MBU_pct,R_prompt_8k_c4_out128__speedup,R_prompt_8k_c4_out128__req_per_s,R_prompt_8k_c4_out128__tokens_per_s,R_prompt_8k_c4_out128__MFU_simple_pct,R_prompt_8k_c4_out128__MFU_amortized_pct,R_prompt_8k_c4_out128__MBU_pct,R_prompt_16k_c2_out128__speedup,R_prompt_16k_c2_out128__req_per_s,R_prompt_16k_c2_out128__tokens_per_s,R_prompt_16k_c2_out128__MFU_simple_pct,R_prompt_16k_c2_out128__MFU_amortized_pct,R_prompt_16k_c2_out128__MBU_pct,R_prompt_32k_c1_out128__speedup,R_prompt_32k_c1_out128__req_per_s,R_prompt_32k_c1_out128__tokens_per_s,R_prompt_32k_c1_out128__MFU_simple_pct,R_prompt_32k_c1_out128__MFU_amortized_pct,R_prompt_32k_c1_out128__MBU_pct,R_prompt_50k_c1_out64__speedup,R_prompt_50k_c1_out64__req_per_s,R_prompt_50k_c1_out64__tokens_per_s,R_prompt_50k_c1_out64__MFU_simple_pct,R_prompt_50k_c1_out64__MFU_amortized_pct,R_prompt_50k_c1_out64__MBU_pct,spec_hash
v3,optuna,v3-trial-0007,v3 Optuna tpe trial,auto,fa3,32,8192,lpm,0.75,on,0.998,1.281,8,0.991,1.6886,432.3,0.14,0.212,28.82,0.997,7.2904,1866.3,0.604,3.088,15.553,0.998,23.7438,6078.4,1.967,3.98,12.663,1.194,16.2034,518.5,0.168,28.532,8.642,1.356,7.2165,923.7,0.299,26.57,15.395,1.498,4.0414,517.3,0.167,31.764,17.243,1.402,2.2892,293.0,0.095,40.812,19.534,2.163,2.7574,176.5,0.057,87.054,11.765,sha256:2285f5dcb
v3,optuna,v3-trial-0016,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.998,1.309,8,0.992,1.69,432.7,0.14,0.212,28.843,1.004,7.3377,1878.5,0.608,3.108,15.654,0.998,23.7538,6081.0,1.968,3.982,12.669,1.216,16.4987,528.0,0.171,29.052,8.799,1.361,7.24,926.7,0.3,26.657,15.445,1.597,4.3077,551.4,0.178,33.858,18.379,1.478,2.4136,308.9,0.1,43.03,20.596,2.229,2.8421,181.9,0.059,89.731,12.126,sha256:03bcded3a
v3,optuna,v3-trial-0022,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.998,1.284,8,0.996,1.6977,434.6,0.141,0.213,28.974,1.0,7.31,1871.3,0.605,3.096,15.595,0.998,23.7434,6078.3,1.967,3.98,12.663,1.051,14.268,456.6,0.148,25.124,7.61,1.342,7.141,914.0,0.296,26.292,15.234,1.564,4.2181,539.9,0.175,33.153,17.997,1.49,2.4327,311.4,0.101,43.37,20.759,2.255,2.8757,184.0,0.06,90.79,12.27,sha256:cc5e0f0af
v2,baseline-revalidation,v2-cookbook-run3,v2 explicit 3-lifetime baseline; run 3/3,auto,auto,32,-1,lpm,0.85,on,0.998,0.995,4,0.993,1.6923,433.2,0.14,0.212,28.882,0.998,7.2979,1868.3,0.604,3.091,15.569,0.998,23.7562,6081.6,1.968,3.982,12.67,0.993,13.4703,431.0,0.139,23.72,7.184,,,,,,,,,,,,,,,,,,,,,,,,,sha256:2a67d5612
v3,optuna,v3-trial-0003,v3 Optuna warm-start trial,auto,fa3,32,-1,fcfs,0.9,on,0.996,0.99,8,0.992,1.6896,432.5,0.14,0.212,28.836,1.004,7.3372,1878.3,0.608,3.107,15.653,0.996,23.7156,6071.2,1.964,3.975,12.648,0.965,13.1018,419.3,0.136,23.071,6.988,0.99,5.2652,673.9,0.218,19.386,11.232,0.997,2.6906,344.4,0.111,21.148,11.48,0.975,1.593,203.9,0.066,28.401,13.594,1.002,1.2775,81.8,0.026,40.332,5.451,sha256:b639b0fd8
v3,optuna,v3-trial-0020,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.996,1.282,8,0.991,1.6887,432.3,0.14,0.212,28.82,0.999,7.3056,1870.2,0.605,3.094,15.585,0.996,23.7044,6068.3,1.963,3.973,12.642,1.177,15.9776,511.3,0.165,28.135,8.521,1.337,7.1126,910.4,0.295,26.188,15.174,1.5,4.0455,517.8,0.168,31.797,17.261,1.428,2.3325,298.6,0.097,41.585,19.904,2.192,2.7944,178.8,0.058,88.222,11.923,sha256:cf9abce1e
v3,optuna,v3-trial-0024,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.996,1.308,8,0.991,1.6892,432.4,0.14,0.212,28.83,1.004,7.3413,1879.4,0.608,3.109,15.661,0.996,23.7061,6068.8,1.964,3.974,12.643,1.22,16.5552,529.8,0.171,29.152,8.829,1.373,7.304,934.9,0.303,26.892,15.582,1.534,4.1377,529.6,0.171,32.522,17.654,1.493,2.4381,312.1,0.101,43.468,20.806,2.26,2.8812,184.4,0.06,90.963,12.293,sha256:51fbde1f1
v2,optuna-phase1,v2-phase1-trial-0001,v2 Optuna phase1 trial,triton,fa3,64,8192,fcfs,0.75,on,0.995,1.046,4,0.995,1.6952,434.0,0.14,0.212,28.931,1.001,7.3214,1874.3,0.606,3.101,15.619,0.995,23.6797,6062.0,1.961,3.969,12.629,1.206,16.3647,523.7,0.169,28.816,8.728,,,,,,,,,,,,,,,,,,,,,,,,,sha256:3e238f013
v3,optuna,v3-trial-0021,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.993,1.268,8,0.99,1.6875,432.0,0.14,0.211,28.8,1.002,7.3221,1874.5,0.606,3.101,15.62,0.993,23.6391,6051.6,1.958,3.962,12.608,1.076,14.6033,467.3,0.151,25.715,7.788,1.336,7.1089,909.9,0.294,26.174,15.166,1.564,4.2193,540.1,0.175,33.163,18.003,1.407,2.297,294.0,0.095,40.952,19.601,2.142,2.7311,174.8,0.057,86.226,11.653,sha256:adf2ec713
v2,optuna-phase1,v2-phase1-trial-0010,v2 Optuna phase1 trial,triton,fa3,64,8192,fcfs,0.85,on,0.993,1.01,4,0.995,1.6949,433.9,0.14,0.212,28.927,1.007,7.3637,1885.1,0.61,3.119,15.709,0.993,23.636,6050.8,1.958,3.962,12.606,1.046,14.1953,454.3,0.147,24.996,7.571,,,,,,,,,,,,,,,,,,,,,,,,,sha256:f8b7199cc
v2,baseline-revalidation,v2-cookbook-run1,v2 explicit 3-lifetime baseline; run 1/3,auto,auto,32,-1,lpm,0.85,on,0.992,0.995,4,0.993,1.6918,433.1,0.14,0.212,28.873,0.995,7.2708,1861.3,0.602,3.079,15.511,0.992,23.617,6046.0,1.956,3.959,12.596,1.002,13.6033,435.3,0.141,23.954,7.255,,,,,,,,,,,,,,,,,,,,,,,,,sha256:2a67d5612
v2,manual-validation,v2-triton-moe-manual,v2 manual validation: triton MoE + baseline batching,triton,auto,32,-1,lpm,0.85,on,0.989,0.992,4,0.992,1.6908,432.9,0.14,0.212,28.857,0.999,7.3035,1869.7,0.605,3.093,15.581,0.989,23.5267,6022.8,1.949,3.944,12.548,0.987,13.3936,428.6,0.139,23.585,7.143,,,,,,,,,,,,,,,,,,,,,,,,,sha256:32016a081
v3,optuna,v3-trial-0000,v3 Optuna warm-start trial,auto,fa3,32,-1,lpm,0.9,on,0.98,0.989,8,0.99,1.6868,431.8,0.14,0.211,28.788,1.001,7.3152,1872.7,0.606,3.098,15.606,0.98,23.323,5970.7,1.932,3.909,12.439,0.997,13.534,433.1,0.14,23.832,7.218,0.992,5.2804,675.9,0.219,19.442,11.265,0.991,2.6745,342.3,0.111,21.021,11.411,0.987,1.6117,206.3,0.067,28.735,13.754,0.972,1.2394,79.3,0.026,39.13,5.288,sha256:99fc4c797
v2,baseline,v2-baseline-cookbook,v2 baseline (only 4 regimes),auto,auto,32,-1,lpm,0.85,on,0.974,0.984,4,0.989,1.6858,431.6,0.14,0.211,28.771,0.996,7.2812,1864.0,0.603,3.084,15.533,0.974,23.1842,5935.1,1.92,3.886,12.365,0.978,13.2756,424.8,0.137,23.377,7.08,,,,,,,,,,,,,,,,,,,,,,,,,sha256:2a67d5612
v3,optuna,v3-trial-0029,v3 Optuna tpe trial,auto,fa3,64,2048,fcfs,0.85,on,0.973,1.372,8,0.993,1.6916,433.0,0.14,0.212,28.87,1.011,7.3913,1892.2,0.612,3.13,15.768,0.973,23.1537,5927.4,1.918,3.881,12.349,1.487,20.1849,645.9,0.209,35.543,10.765,1.459,7.7648,993.9,0.322,28.589,16.565,1.695,4.5716,585.2,0.189,35.932,19.506,1.46,2.3847,305.2,0.099,42.515,20.349,2.394,3.0522,195.3,0.063,96.361,13.023,sha256:fae7b9fd8
v3,optuna,v3-trial-0005,v3 Optuna tpe trial,triton,fa3,64,2048,fcfs,0.9,on,0.971,1.341,8,0.992,1.6898,432.6,0.14,0.212,28.839,0.929,6.7923,1738.8,0.563,2.877,14.49,0.971,23.1118,5916.6,1.914,3.874,12.326,1.5,20.3567,651.4,0.211,35.846,10.857,1.432,7.6186,975.2,0.316,28.051,16.253,1.652,4.4555,570.3,0.185,35.02,19.01,1.422,2.3222,297.2,0.096,41.401,19.816,2.32,2.9584,189.3,0.061,93.4,12.622,sha256:52fe71b9c
v3,optuna,v3-trial-0009,v3 Optuna tpe trial,flashinfer_cutlass,fa3,64,-1,lpm,0.9,on,0.941,0.823,8,0.984,1.6761,429.1,0.139,0.21,28.605,0.97,7.094,1816.1,0.588,3.004,15.134,0.941,22.3866,5731.0,1.854,3.752,11.939,0.684,9.2863,297.2,0.096,16.352,4.953,0.753,4.0067,512.9,0.166,14.752,8.548,0.742,2.002,256.3,0.083,15.735,8.542,0.812,1.3256,169.7,0.055,23.633,11.312,0.756,0.9641,61.7,0.02,30.439,4.114,sha256:696659ff5
v3,optuna,v3-trial-0002,v3 Optuna warm-start trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.938,0.821,8,0.964,1.642,420.4,0.136,0.206,28.024,0.969,7.0879,1814.5,0.587,3.002,15.121,0.938,22.3297,5716.4,1.85,3.743,11.909,0.682,9.2551,296.2,0.096,16.297,4.936,0.754,4.0104,513.3,0.166,14.766,8.556,0.741,2.0001,256.0,0.083,15.721,8.534,0.817,1.3336,170.7,0.055,23.775,11.38,0.758,0.9669,61.9,0.02,30.526,4.125,sha256:009daa8d7
v2,optuna-main,v2-main-trial-0017,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.938,0.881,4,0.965,1.6449,421.1,0.136,0.206,28.073,0.97,7.0923,1815.6,0.587,3.004,15.13,0.938,22.3194,5713.8,1.849,3.741,11.904,0.687,9.3244,298.4,0.097,16.419,4.973,,,,,,,,,,,,,,,,,,,,,,,,,sha256:c6206f41f
v2,optuna-main,v2-main-trial-0018,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.936,0.88,4,0.965,1.6452,421.2,0.136,0.206,28.078,0.971,7.0954,1816.4,0.588,3.005,15.137,0.936,22.2797,5703.6,1.845,3.734,11.882,0.683,9.2724,296.7,0.096,16.328,4.945,,,,,,,,,,,,,,,,,,,,,,,,,sha256:3eb4154be
v2,optuna-main,v2-main-trial-0011,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.934,0.88,4,0.967,1.6477,421.8,0.136,0.206,28.12,0.971,7.0973,1816.9,0.588,3.006,15.141,0.934,22.2396,5693.3,1.842,3.728,11.861,0.684,9.2804,297.0,0.096,16.342,4.95,,,,,,,,,,,,,,,,,,,,,,,,,sha256:24d814d75
v2,optuna-main,v2-main-trial-0000,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,on,0.932,0.878,4,0.966,1.6464,421.5,0.136,0.206,28.098,0.968,7.0787,1812.2,0.586,2.998,15.101,0.932,22.1709,5675.7,1.836,3.716,11.824,0.682,9.2501,296.0,0.096,16.288,4.933,,,,,,,,,,,,,,,,,,,,,,,,,sha256:920f25648
v3,optuna,v3-trial-0025,v3 Optuna tpe trial,flashinfer_cutlass,fa3,32,8192,fcfs,0.75,on,0.93,1.186,8,0.967,1.6483,422.0,0.137,0.206,28.13,0.975,7.1275,1824.7,0.59,3.019,15.205,0.93,22.1264,5664.4,1.833,3.709,11.801,0.887,12.0369,385.2,0.125,21.196,6.42,1.239,6.5894,843.4,0.273,24.261,14.057,1.363,3.6778,470.8,0.152,28.907,15.692,1.433,2.3406,299.6,0.097,41.73,19.973,2.079,2.6513,169.7,0.055,83.705,11.312,sha256:ba111208b
v2,optuna-main,v2-main-trial-0021,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.93,0.881,4,0.965,1.6443,420.9,0.136,0.206,28.063,0.971,7.0983,1817.2,0.588,3.006,15.143,0.93,22.1367,5667.0,1.834,3.711,11.806,0.691,9.3732,299.9,0.097,16.505,4.999,,,,,,,,,,,,,,,,,,,,,,,,,sha256:26f9d54e0
v2,optuna-main,v2-main-trial-0016,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.85,on,0.929,0.879,4,0.966,1.6465,421.5,0.136,0.206,28.101,0.971,7.0993,1817.4,0.588,3.007,15.145,0.929,22.115,5661.5,1.832,3.707,11.795,0.686,9.311,298.0,0.096,16.396,4.966,,,,,,,,,,,,,,,,,,,,,,,,,sha256:08a3e9e26
v2,optuna-main,v2-main-trial-0010,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.928,0.879,4,0.966,1.6469,421.6,0.136,0.206,28.108,0.97,7.091,1815.3,0.587,3.003,15.127,0.928,22.0844,5653.6,1.829,3.702,11.778,0.685,9.3008,297.6,0.096,16.378,4.96,,,,,,,,,,,,,,,,,,,,,,,,,sha256:1fddc69fb
v2,optuna-main,v2-main-trial-0024,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.927,0.88,4,0.965,1.645,421.1,0.136,0.206,28.074,0.973,7.1136,1821.1,0.589,3.013,15.176,0.927,22.0672,5649.2,1.828,3.699,11.769,0.688,9.3393,298.9,0.097,16.445,4.981,,,,,,,,,,,,,,,,,,,,,,,,,sha256:481bda6fb
v2,optuna-phase2a,v2-phase2a-trial-0000,v2 Optuna phase2a trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,on,0.926,0.876,4,0.965,1.6444,421.0,0.136,0.206,28.065,0.97,7.0899,1815.0,0.587,3.003,15.125,0.926,22.0393,5642.1,1.826,3.694,11.754,0.679,9.2181,295.0,0.095,16.232,4.916,,,,,,,,,,,,,,,,,,,,,,,,,sha256:920f25648
v2,optuna-main,v2-main-trial-0014,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.924,0.877,4,0.968,1.6491,422.2,0.137,0.207,28.145,0.973,7.1126,1820.8,0.589,3.012,15.173,0.924,21.9912,5629.7,1.822,3.686,11.729,0.681,9.241,295.7,0.096,16.272,4.929,,,,,,,,,,,,,,,,,,,,,,,,,sha256:6b4333f9c
v2,optuna-main,v2-main-trial-0022,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.924,0.88,4,0.966,1.6461,421.4,0.136,0.206,28.094,0.975,7.1317,1825.7,0.591,3.02,15.214,0.924,21.9846,5628.0,1.821,3.685,11.725,0.688,9.342,298.9,0.097,16.45,4.982,,,,,,,,,,,,,,,,,,,,,,,,,sha256:f598866d8
v2,optuna-main,v2-main-trial-0013,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.921,0.876,4,0.964,1.6423,420.4,0.136,0.206,28.028,0.971,7.0984,1817.2,0.588,3.006,15.143,0.921,21.9185,5611.1,1.816,3.674,11.69,0.683,9.2678,296.6,0.096,16.319,4.943,,,,,,,,,,,,,,,,,,,,,,,,,sha256:96a86d1c5
v2,optuna-main,v2-main-trial-0023,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.92,0.877,4,0.966,1.6465,421.5,0.136,0.206,28.101,0.973,7.1153,1821.5,0.589,3.013,15.179,0.92,21.8927,5604.5,1.813,3.67,11.676,0.683,9.2743,296.8,0.096,16.331,4.946,,,,,,,,,,,,,,,,,,,,,,,,,sha256:709eea946
v2,optuna-main,v2-main-trial-0012,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.919,0.876,4,0.964,1.6433,420.7,0.136,0.206,28.045,0.973,7.1107,1820.3,0.589,3.011,15.169,0.919,21.8675,5598.1,1.811,3.665,11.663,0.682,9.2548,296.2,0.096,16.297,4.936,,,,,,,,,,,,,,,,,,,,,,,,,sha256:d04b075d4
v2,optuna-main,v2-main-trial-0019,v2 Optuna main trial,flashinfer_cutlass,fa3,64,8192,lpm,0.9,on,0.914,0.935,4,0.983,1.6752,428.9,0.139,0.21,28.591,0.972,7.1061,1819.2,0.589,3.009,15.16,0.914,21.7455,5566.9,1.801,3.645,11.598,0.875,11.8818,380.2,0.123,20.922,6.337,,,,,,,,,,,,,,,,,,,,,,,,,sha256:f9b64f5a6
v2,baseline,v2-baseline-true-default,v2 baseline (only 4 regimes),auto,auto,32,-1,lpm,0.85,on,0.902,0.973,4,0.993,1.692,433.1,0.14,0.212,28.876,0.996,7.2786,1863.3,0.603,3.083,15.528,0.902,21.4703,5496.4,1.778,3.599,11.451,1.005,13.6347,436.3,0.141,24.009,7.272,,,,,,,,,,,,,,,,,,,,,,,,,sha256:abd3bd31f
v3,optuna,v3-trial-0017,v3 Optuna tpe trial,auto,fa3,16,8192,fcfs,0.75,on,0.597,1.192,8,0.993,1.6917,433.1,0.14,0.212,28.871,0.999,7.3025,1869.4,0.605,3.093,15.579,0.597,14.2188,3640.0,1.178,2.383,7.583,1.0,13.5683,434.2,0.14,23.892,7.236,1.37,7.2907,933.2,0.302,26.843,15.553,1.53,4.1269,528.2,0.171,32.437,17.608,1.46,2.384,305.2,0.099,42.504,20.344,2.244,2.8609,183.1,0.059,90.325,12.207,sha256:dceac9f00
v3,optuna,v3-trial-0008,v3 Optuna tpe trial,flashinfer_cutlass,fa3,16,-1,lpm,0.9,on,0.572,0.776,8,0.965,1.6452,421.2,0.136,0.206,28.079,0.97,7.0946,1816.2,0.588,3.005,15.135,0.572,13.6236,3487.6,1.128,2.284,7.266,0.684,9.2833,297.1,0.096,16.347,4.951,0.753,4.0068,512.9,0.166,14.753,8.548,0.752,2.0277,259.6,0.084,15.938,8.652,0.83,1.3554,173.5,0.056,24.164,11.566,0.764,0.9741,62.3,0.02,30.753,4.156,sha256:5a842f066
v2,optuna-main,v2-main-trial-0015,v2 Optuna main trial,flashinfer_cutlass,fa3,16,-1,lpm,0.9,on,0.571,0.778,4,0.964,1.6422,420.4,0.136,0.206,28.027,0.971,7.0963,1816.7,0.588,3.005,15.139,0.571,13.5998,3481.6,1.126,2.28,7.253,0.684,9.2857,297.1,0.096,16.351,4.952,,,,,,,,,,,,,,,,,,,,,,,,,sha256:86dd766d3
v2,optuna-main,v2-main-trial-0020,v2 Optuna main trial,flashinfer_cutlass,fa3,16,-1,lpm,0.85,on,0.571,0.78,4,0.966,1.6454,421.2,0.136,0.206,28.082,0.97,7.093,1815.8,0.588,3.004,15.132,0.571,13.5876,3478.4,1.125,2.278,7.247,0.691,9.3783,300.1,0.097,16.514,5.002,,,,,,,,,,,,,,,,,,,,,,,,,sha256:59fa7be2f
